CENTRO_POBLADO;LATITUD;LONGITUD;3G;4G;VOZ;SMS;MMS;CANT_EB_3G;CANT_EB_4G
EL LUNAR ALTO;-8.49048;-78.64398;0;1;1;1;1;0;0
SANTA ELVIRA;-8.48176;-78.6443;1;0;1;1;1;1;1
COSCOMBA;-8.76438;-78.63579;1;0;1;1;1;0;0
HUACA CORRAL;-8.84898;-78.591;1;0;1;1;1;0;0
TRUJILLO;-8.11179;-79.02868;1;1;1;1;0;70;95
EL PORVENIR;-8.073839;-78.9931;1;1;1;1;0;17;17
FLORENCIA DE MORA;-8.082055;-79.023671;1;1;1;1;0;4;3
HUANCHACO;-8.084059;-79.119369;1;0;1;1;0;3;6
EL MILAGRO;-8.022877;-79.066943;1;0;1;1;0;5;5
HUANCHAQUITO ALTO;-8.092973;-79.102806;1;0;1;1;0;4;4
VILLA CHAN CHAN;-8.09759;-79.09218;1;1;1;1;0;0;0
EL PROGRESO;-8.088256;-79.05492;1;1;1;1;0;1;2
LA ESPERANZA;-8.082975;-79.040998;1;1;1;1;0;15;16
LAREDO;-8.088183;-78.95965;1;0;1;1;0;2;5
CERRO BLANCO (*);-8.07816;-78.87511;0;1;0;0;0;1;1
MOCHE;-8.171425;-79.008935;1;0;1;1;0;3;4
MIRAMAR;-8.175883;-78.996327;1;1;1;1;0;0;0
SALAVERRY;-8.217878;-78.97716;1;1;1;1;0;3;3
ALTO SALAVERRY;-8.189491;-78.98762;1;1;1;1;0;2;2
LOS ANDES;-8.29039;-78.90314;1;1;1;1;0;1;1
BUENOS AIRES;-8.143567;-79.056191;1;1;1;1;0;16;20
ASCOPE;-7.713504;-79.107279;1;1;1;1;0;1;1
CHICAMA;-7.842829;-79.143857;1;1;1;1;0;1;1
SAUSAL;-7.73404;-79.004458;1;1;1;1;0;1;1
CHICLIN;-7.837607;-79.161284;1;1;1;1;0;0;2
LAGUNA DEL PATO;-7.910787;-79.18717;1;0;1;1;0;0;0
PASCONA BAJA;-7.86943;-79.13661;1;0;1;1;0;1;1
CHOCOPE;-7.791847;-79.222653;1;0;1;1;0;1;1
MOCOLLOPE;-7.785078;-79.200118;1;0;1;1;0;0;0
PAIJAN;-7.734259;-79.303262;1;0;1;1;0;2;2
PUERTO DE MALABRIGO;-7.702036;-79.437109;1;1;1;1;0;1;1
SANTIAGO DE CAO;-7.962578;-79.238771;1;1;1;1;0;1;1
